80s icons,,,,
#,Player,Date of Birth,Nationality,Position
12,Michael Laudrup,15 Jun 1964,Denmark,Attacking Midfielder
13,Peter Schmeichel,18 Nov 1963,Denmark,Goalkeeper
14,Lothar Matthäus,21 Mar 1961,Germany,Midfielder
15,Gabriel Batistuta,1 Feb 1969,Argentina,Striker
16,Raúl,27 Jun 1977,Spain,Forward
17,Patrick Vieira,23 Jun 1976,France,Midfielder
18,Rivaldo,19 Apr 1972,Brazil,Attacking Midfielder
19,Clarence Seedorf,1 Apr 1976,Netherlands,Midfielder
20,Marcelo Salas,24 Dec 1974,Chile,Striker
21,Alan Shearer,13 Aug 1970,England,Striker
22,Gianfranco Zola,5 Jul 1966,Italy,Forward
23,Cafu,7 Jun 1970,Brazil,Right-back
24,Fabien Barthez,28 Jun 1971,France,Goalkeeper
25,Fernando Hierro,23 Mar 1968,Spain,Defender
26,Marcel Desailly,7 Sep 1968,France,Defender
27,Rui Costa,29 Mar 1972,Portugal,Attacking Midfielder
28,Davor Šuker,1 Jan 1968,Croatia,Striker
29,Andriy Shevchenko,29 Sep 1976,Ukraine,Striker
30,Ryan Giggs,29 Nov 1973,Wales,Winger
31,Roberto Carlos,10 Apr 1973,Brazil,Left-back
32,Edgar Davids,13 Mar 1973,Netherlands,Midfielder
33,Jürgen Klinsmann,30 Jul 1964,Germany,Striker
34,David Beckham,2 May 1975,England,Midfielder
35,Oliver Kahn,15 Jun 1969,Germany,Goalkeeper
36,Laurent Blanc,19 Nov 1965,France,Defender
37,Gheorghe Hagi,5 Feb 1965,Romania,Attacking Midfielder
38,Carlos Valderrama,2 Sep 1961,Colombia,Midfielder
39,Javier Zanetti,10 Aug 1973,Argentina,Defender
40,Diego Simeone,28 Apr 1970,Argentina,Midfielder
41,Hernán Crespo,5 Jul 1975,Argentina,Striker
42,Bixente Lizarazu,9 Dec 1969,France,Left-back
43,Pep Guardiola,18 Jan 1971,Spain,Defensive Midfielder
44,Juan Sebastián Verón,9 Mar 1975,Argentina,Midfielder
45,Ronald de Boer,15 May 1970,Netherlands,Midfielder
46,Jay-Jay Okocha,14 Aug 1973,Nigeria,Attacking Midfielder
47,Fernando Redondo,6 Jul 1969,Argentina,Midfielder
48,Christian Vieri,12 Jul 1973,Italy,Striker
49,Roberto Ayala,14 Apr 1973,Argentina,Defender
50,Iván Zamorano,18 Jan 1967,Chile,Striker
,,,,
00s,,,,
#,Player,Date of Birth,Nationality,Position
1,Lionel Messi,24 Jun 1987,Argentina,Forward
2,Cristiano Ronaldo,5 Feb 1985,Portugal,Forward
3,Ronaldinho,21 Mar 1980,Brazil,Attacking Midfielder
4,Zinedine Zidane,23 Jun 1972,France,Attacking Midfielder
5,Thierry Henry,17 Aug 1977,France,Forward
6,Ronaldo Nazário,18 Sep 1976,Brazil,Striker
7,Kaká,22 Apr 1982,Brazil,Attacking Midfielder
8,Andrea Pirlo,19 May 1979,Italy,Deep-lying Playmaker
9,Xavi,25 Jan 1980,Spain,Midfielder
10,Andrés Iniesta,11 May 1984,Spain,Midfielder
11,Samuel Eto’o,10 Mar 1981,Cameroon,Striker
12,Iker Casillas,20 May 1981,Spain,Goalkeeper
13,Gianluigi Buffon,28 Jan 1978,Italy,Goalkeeper
14,David Beckham,2 May 1975,England,Midfielder
15,Steven Gerrard,30 May 1980,England,Midfielder
16,Frank Lampard,20 Jun 1978,England,Midfielder
17,Paul Scholes,16 Nov 1974,England,Midfielder
18,Didier Drogba,11 Mar 1978,Ivory Coast,Striker
19,Ronaldinho,21 Mar 1980,Brazil,Attacking Midfielder
20,Wayne Rooney,24 Oct 1985,England,Forward
21,Pavel Nedvěd,30 Aug 1972,Czech Republic,Midfielder
22,Luis Figo,4 Nov 1972,Portugal,Winger
23,Raúl,27 Jun 1977,Spain,Forward
24,Fabio Cannavaro,13 Sep 1973,Italy,Defender
25,Carlos Tevez,5 Feb 1984,Argentina,Forward
26,Zlatan Ibrahimović,3 Oct 1981,Sweden,Striker
27,Clarence Seedorf,1 Apr 1976,Netherlands,Midfielder
28,Deco,27 Aug 1977,Portugal,Midfielder
29,Michael Ballack,26 Sep 1976,Germany,Midfielder
30,Fernando Torres,20 Mar 1984,Spain,Striker
31,Patrick Vieira,23 Jun 1976,France,Midfielder
32,Arjen Robben,23 Jan 1984,Netherlands,Winger
33,Rivaldo,19 Apr 1972,Brazil,Attacking Midfielder
34,Hernán Crespo,5 Jul 1975,Argentina,Striker
35,Filippo Inzaghi,9 Aug 1973,Italy,Striker
36,Claude Makélélé,18 Feb 1973,France,Defensive Midfielder
37,Ashley Cole,20 Dec 1980,England,Left-back
38,Rio Ferdinand,7 Nov 1978,England,Centre-back
39,Nemanja Vidić,21 Oct 1981,Serbia,Centre-back
40,Carles Puyol,13 Apr 1978,Spain,Defender
41,Gerard Piqué,2 Feb 1987,Spain,Defender
42,Wesley Sneijder,9 Jun 1984,Netherlands,Midfielder
43,Yaya Touré,13 May 1983,Ivory Coast,Midfielder
44,Juan Román Riquelme,24 Jun 1978,Argentina,Attacking Midfielder
45,Robinho,25 Jan 1984,Brazil,Forward
46,David Villa,3 Dec 1981,Spain,Striker
47,Kolo Touré,19 Mar 1981,Ivory Coast,Defender
48,Javier Zanetti,10 Aug 1973,Argentina,Defender
49,Lilian Thuram,1 Jan 1972,France,Defender
50,Samuel Eto’o,10 Mar 1981,Cameroon,Striker
,,,,
,,,,
,,,,
all-time,,,,
#,Player,Date of Birth,Nationality,Position
1,Pelé,23 Oct 1940,Brazil,Forward
2,Diego Maradona,30 Oct 1960,Argentina,Attacking Midfielder
3,Lionel Messi,24 Jun 1987,Argentina,Forward
4,Cristiano Ronaldo,5 Feb 1985,Portugal,Forward
5,Zinedine Zidane,23 Jun 1972,France,Attacking Midfielder
6,Johan Cruyff,25 Apr 1947,Netherlands,Forward
7,Ronaldo Nazário,18 Sep 1976,Brazil,Striker
8,Michel Platini,21 Jun 1955,France,Attacking Midfielder
9,Ronaldinho,21 Mar 1980,Brazil,Attacking Midfielder
10,Franz Beckenbauer,11 Sep 1945,Germany,Sweeper
11,Paolo Maldini,26 Jun 1968,Italy,Defender
12,Alfredo Di Stéfano,4 Jul 1926,Argentina / Spain,Forward
13,George Best,22 May 1946,Northern Ireland,Winger
14,Zico,3 Mar 1953,Brazil,Attacking Midfielder
15,Garrincha,28 Oct 1933,Brazil,Winger
16,Marco van Basten,31 Oct 1964,Netherlands,Striker
17,Ruud Gullit,1 Sep 1962,Netherlands,Midfielder
18,Franco Baresi,8 May 1960,Italy,Defender
19,Andrés Iniesta,11 May 1984,Spain,Midfielder
20,Xavi,25 Jan 1980,Spain,Midfielder
21,Thierry Henry,17 Aug 1977,France,Forward
22,Kaká,22 Apr 1982,Brazil,Attacking Midfielder
23,Roberto Baggio,18 Feb 1967,Italy,Attacking Midfielder
24,Luis Figo,4 Nov 1972,Portugal,Winger
25,George Weah,1 Oct 1966,Liberia,Striker
26,Bobby Charlton,11 Oct 1937,England,Midfielder
27,Eusébio,25 Jan 1942,Portugal,Striker
28,Gianluigi Buffon,28 Jan 1978,Italy,Goalkeeper
29,Iker Casillas,20 May 1981,Spain,Goalkeeper
30,Lev Yashin,22 Oct 1929,USSR,Goalkeeper
31,Andrea Pirlo,19 May 1979,Italy,Deep-lying Playmaker
32,Lothar Matthäus,21 Mar 1961,Germany,Midfielder
33,Romário,29 Jan 1966,Brazil,Striker
34,Raúl,27 Jun 1977,Spain,Forward
35,Didier Drogba,11 Mar 1978,Ivory Coast,Striker
36,Zlatan Ibrahimović,3 Oct 1981,Sweden,Striker
37,David Beckham,2 May 1975,England,Midfielder
38,Carlos Alberto,17 Jul 1944,Brazil,Right-back
39,Cafu,7 Jun 1970,Brazil,Right-back
40,Roberto Carlos,10 Apr 1973,Brazil,Left-back
41,Clarence Seedorf,1 Apr 1976,Netherlands,Midfielder
42,Samuel Eto’o,10 Mar 1981,Cameroon,Striker
43,Wayne Rooney,24 Oct 1985,England,Forward
44,Patrick Vieira,23 Jun 1976,France,Midfielder
45,Fabio Cannavaro,13 Sep 1973,Italy,Defender
46,Johan Neeskens,15 Sep 1951,Netherlands,Midfielder
47,Ronald Koeman,21 Mar 1963,Netherlands,Defender
48,Kevin De Bruyne,28 Jun 1991,Belgium,Midfielder
49,Neymar,5 Feb 1992,Brazil,Forward
50,Erling Haaland,21 Jul 2000,Norway,Striker
